Observação i,y observado,ŷ ajustado,e resíduo
1,0.119,0.1440634317876875,-0.025063431787687496
2,0.118,0.1572968930812576,-0.03929689308125761
3,0.099,0.1325446232936367,-0.033544623293636694
4,0.118,0.17637466921223954,-0.05837466921223955
5,0.277,0.20613007689755075,0.07086992310244927
6,0.358,0.1317776382544451,0.22622236174555488
7,0.08,0.131964869445288,-0.05196486944528801
8,0.158,0.16902099304197138,-0.011020993041971378
9,0.31,0.3099999999996304,3.695932448977146e-13
10,0.105,0.15144855087420328,-0.046448550874203284
11,0.073,0.1110690421962731,-0.038069042196273106
12,0.832,0.8317734984712739,0.000226501528726053
13,0.517,0.38249794734848197,0.13450205265151804
14,2.252,1.9142125892165083,0.3377874107834915
15,0.851,0.4434922936386554,0.4075077063613446
16,0.269,0.37344861462127876,-0.10444861462127875
17,0.433,1.1440813692079814,-0.7110813692079814
18,0.141,0.1179719075489971,0.023028092451002888
19,0.275,0.3525387544660864,-0.07753875446608638
20,0.135,0.1203276937597819,0.014672306240218105
21,0.175,0.19296454363660384,-0.017964543636603852
